ranked_by,endpoint,depth,a_top_in,b_top_out,c_bg_in,d_bg_out,eligible_n,odds_ratio,ci_low,ci_high,p_one_sided
kidney (podocyte),kidney-only,200,68,132,137,1593,1930,5.981,4.183,8.517,6.558742064216563e-22
kidney (whole),kidney-only,200,39,161,166,1564,1930,2.281,1.51,3.387,5.307798684292816e-05
lung,kidney-only,200,65,135,140,1590,1930,5.461,3.809,7.79,1.2546135047283162e-19
hepatocyte,kidney-only,200,61,139,144,1586,1930,4.827,3.353,6.907,9.063421699808488e-17
stomach,kidney-only,200,57,143,148,1582,1930,4.256,2.94,6.114,4.009039260276156e-14
brain,kidney-only,200,58,142,147,1583,1930,4.393,3.04,6.304,9.158126685630596e-15
liver,kidney-only,200,39,161,166,1564,1930,2.281,1.51,3.387,5.307798684292816e-05
